player_id,player_name,stat,weight,raw_season_avg,weighted_contribution
12854,Lloyd Meek,Disposals / game,0.22,14.0526,3.0916
12854,Lloyd Meek,Goals / game,0.18,0.3684,0.0663
12854,Lloyd Meek,Score involvements / game,0.11,5.0526,0.5558
12854,Lloyd Meek,Metres gained / 100 per game,0.06,1.6216,0.0973
12854,Lloyd Meek,Tackles / game,0.07,3.4737,0.2432
12854,Lloyd Meek,Contested marks / game,0.09,0.6316,0.0568
12854,Lloyd Meek,Intercepts / game,0.09,2.2105,0.1989
12854,Lloyd Meek,Clearances / game,0.11,3.2632,0.3589
12854,Lloyd Meek,Hit-outs / game,0.03,35.6842,1.0705
12854,Lloyd Meek,Hit-outs to advantage / game,0.05,10.6316,0.5316
12854,Lloyd Meek,Clangers / game (penalty),-0.06,3.3684,-0.2021
13022,Jai Serong,Disposals / game,0.22,8.5,1.87
13022,Jai Serong,Goals / game,0.18,0.0,0.0
13022,Jai Serong,Score involvements / game,0.11,1.0,0.11
13022,Jai Serong,Metres gained / 100 per game,0.06,1.12,0.0672
13022,Jai Serong,Tackles / game,0.07,2.25,0.1575
13022,Jai Serong,Contested marks / game,0.09,0.0,0.0
13022,Jai Serong,Intercepts / game,0.09,3.5,0.315
13022,Jai Serong,Clearances / game,0.11,0.0,0.0
13022,Jai Serong,Hit-outs / game,0.03,0.0,0.0
13022,Jai Serong,Hit-outs to advantage / game,0.05,0.0,0.0
13022,Jai Serong,Clangers / game (penalty),-0.06,1.0,-0.06
12753,Changkuoth Jiath,Disposals / game,0.22,11.9091,2.62
12753,Changkuoth Jiath,Goals / game,0.18,0.2727,0.0491
12753,Changkuoth Jiath,Score involvements / game,0.11,2.9091,0.32
12753,Changkuoth Jiath,Metres gained / 100 per game,0.06,2.4045,0.1443
12753,Changkuoth Jiath,Tackles / game,0.07,2.0,0.14
12753,Changkuoth Jiath,Contested marks / game,0.09,0.0909,0.0082
12753,Changkuoth Jiath,Intercepts / game,0.09,3.5455,0.3191
12753,Changkuoth Jiath,Clearances / game,0.11,0.5455,0.06
12753,Changkuoth Jiath,Hit-outs / game,0.03,0.0,0.0
12753,Changkuoth Jiath,Hit-outs to advantage / game,0.05,0.0,0.0
12753,Changkuoth Jiath,Clangers / game (penalty),-0.06,1.7273,-0.1036
11854,Jack Gunston,Disposals / game,0.22,9.5625,2.1038
11854,Jack Gunston,Goals / game,0.18,1.75,0.315
11854,Jack Gunston,Score involvements / game,0.11,5.4375,0.5981
11854,Jack Gunston,Metres gained / 100 per game,0.06,1.78,0.1068
11854,Jack Gunston,Tackles / game,0.07,1.25,0.0875
11854,Jack Gunston,Contested marks / game,0.09,0.4375,0.0394
11854,Jack Gunston,Intercepts / game,0.09,0.25,0.0225
11854,Jack Gunston,Clearances / game,0.11,0.125,0.0138
11854,Jack Gunston,Hit-outs / game,0.03,0.0,0.0
11854,Jack Gunston,Hit-outs to advantage / game,0.05,0.0,0.0
11854,Jack Gunston,Clangers / game (penalty),-0.06,1.625,-0.0975
13059,Josh Weddle,Disposals / game,0.22,14.1739,3.1183
13059,Josh Weddle,Goals / game,0.18,0.4348,0.0783
13059,Josh Weddle,Score involvements / game,0.11,3.2609,0.3587
13059,Josh Weddle,Metres gained / 100 per game,0.06,2.7243,0.1635
13059,Josh Weddle,Tackles / game,0.07,1.7391,0.1217
13059,Josh Weddle,Contested marks / game,0.09,0.6957,0.0626
13059,Josh Weddle,Intercepts / game,0.09,4.7391,0.4265
13059,Josh Weddle,Clearances / game,0.11,0.3913,0.043
13059,Josh Weddle,Hit-outs / game,0.03,0.913,0.0274
13059,Josh Weddle,Hit-outs to advantage / game,0.05,0.2174,0.0109
13059,Josh Weddle,Clangers / game (penalty),-0.06,1.913,-0.1148
12585,Harry Morrison,Disposals / game,0.22,13.8,3.036
12585,Harry Morrison,Goals / game,0.18,0.2,0.036
12585,Harry Morrison,Score involvements / game,0.11,3.2,0.352
12585,Harry Morrison,Metres gained / 100 per game,0.06,2.279,0.1367
12585,Harry Morrison,Tackles / game,0.07,1.6,0.112
12585,Harry Morrison,Contested marks / game,0.09,0.1,0.009
12585,Harry Morrison,Intercepts / game,0.09,3.3,0.297
12585,Harry Morrison,Clearances / game,0.11,1.2,0.132
12585,Harry Morrison,Hit-outs / game,0.03,0.0,0.0
