player_id,player_name,age_est,draft_pick,archetype,games_played_afl,performance_score,potential_score,age_performance_weight,player_value_score,rounds_missed,rounds_played,rounds_unavailable,rounds_vfl_only,rounds_intermittent
12913,Jai Newcombe,21.0,40,inside_mid,23,5.817,0.574,0.6,5.817,0,23,0,0,0
12342,James Sicily,27.0,56,key_defender,20,5.181,0.183,1.0,5.181,0,20,0,0,3
12365,Karl Amon,27.0,68,outside_mid,23,5.115,0.078,1.0,5.115,0,23,0,0,0
12854,Lloyd Meek,21.0,69,ruck,19,4.928,0.072,0.6,4.928,2,19,1,1,2
12626,James Worpel,24.0,45,inside_mid,23,4.825,0.402,0.9,4.825,0,23,0,0,0
12999,Massimo D'Ambrosio,20.0,40,outside_mid,22,4.733,0.574,0.5,4.733,0,22,0,0,1
12710,Dylan Moore,23.0,67,pressure_forward,23,4.727,0.083,0.8,4.727,0,23,0,0,0
12794,Will Day,22.0,13,inside_mid,16,4.684,3.951,0.7,4.684,6,16,6,0,1
13103,Nick Watson,18.0,5,pressure_forward,16,2.675,6.997,0.3,4.476,2,16,1,1,5
12571,Jack Scrimshaw,25.0,7,key_defender,22,4.428,6.065,1.0,4.428,0,22,0,0,1
12678,Conor Nash,24.0,40,inside_mid,23,4.361,0.574,0.9,4.361,0,23,0,0,0
12245,Jarman Impey,28.0,21,rebound_defender,23,4.331,2.231,1.0,4.331,0,23,0,0,0
13039,Cam Mackenzie,19.0,7,pressure_forward,20,3.372,6.065,0.4,4.078,1,20,0,1,2
12953,Connor Macdonald,20.0,26,pressure_forward,23,3.956,1.561,0.5,3.956,0,23,0,0,0
12954,Josh Ward,20.0,7,utility,10,3.169,6.065,0.5,3.859,10,10,3,7,3
13059,Josh Weddle,19.0,18,key_defender,23,3.673,2.765,0.4,3.673,0,23,0,0,0
12477,Blake Hardwick,26.0,44,pressure_forward,23,3.598,0.432,1.0,3.598,0,23,0,0,0
12928,Jack Ginnivan,21.0,40,pressure_forward,21,3.503,0.574,0.6,3.503,0,21,0,0,2
12585,Harry Morrison,25.0,74,utility,10,3.118,0.051,1.0,3.118,10,10,5,5,3
13146,Ethan Phillips,18.0,22,utility,1,3.03,2.077,0.3,3.03,22,1,9,13,0
12907,Ned Reeves,21.0,40,ruck,4,3.008,0.574,0.6,3.008,17,4,10,7,2
12753,Changkuoth Jiath,23.0,40,rebound_defender,11,2.867,0.574,0.8,2.867,10,11,8,2,2
12846,Finn Maginness,22.0,29,utility,11,2.619,1.26,0.7,2.619,10,11,4,6,2
12491,Mabior Chol,26.0,40,key_forward,21,2.572,0.574,1.0,2.572,0,21,0,0,2
11854,Jack Gunston,30.0,40,key_forward,16,2.439,0.574,1.0,2.439,1,16,0,1,6
12124,Sam Frost,30.0,40,utility,23,2.327,0.574,1.0,2.327,0,23,0,0,0
13022,Jai Serong,20.0,53,utility,4,2.121,0.227,0.5,2.121,17,4,6,11,2
11960,Luke Breust,30.0,40,utility,17,1.916,0.574,1.0,1.916,2,17,2,0,4
13137,Calsher Dear,18.0,56,key_forward,15,1.86,0.183,0.3,1.86,7,15,2,5,1
13055,Seamus Mitchell,19.0,29,utility,10,1.851,1.26,0.4,1.851,12,10,4,8,1
12643,Mitch Lewis,24.0,76,key_forward,4,1.792,0.044,0.9,1.792,16,4,14,2,3
13060,Max Ramsden,19.0,40,ruck,3,1.732,0.574,0.4,1.732,19,3,6,13,1
13092,Henry Hustwaite,19.0,37,utility,4,1.3,0.712,0.4,1.3,17,4,5,12,2
12989,Sam Butler,20.0,23,utility,2,1.035,1.934,0.5,1.243,18,2,16,2,3
