team,squad_players,avg_player_value_score,avg_performance_score,avg_potential_score,min_pvs,max_pvs,sd_pvs
Essendon,35,3.676,3.539,2.938,1.436,6.276,1.186
Greater Western Sydney,34,3.54,3.382,2.476,1.318,6.58,1.318
Western Bulldogs,36,3.537,3.409,2.102,1.221,7.0,1.326
Gold Coast,38,3.446,3.194,2.692,0.326,6.576,1.292
Sydney,31,3.407,3.333,2.022,1.03,6.17,1.334
Geelong,35,3.402,3.352,1.324,1.216,5.475,0.971
Adelaide,39,3.317,3.222,1.856,1.256,6.493,1.237
Port Adelaide,34,3.295,3.265,1.833,0.975,6.415,1.323
Hawthorn,34,3.285,3.186,1.5,1.26,5.55,1.226
St Kilda,38,3.255,3.202,1.724,0.838,5.94,1.216
Carlton,37,3.239,3.22,2.359,1.051,6.635,1.373
Fremantle,36,3.218,3.144,2.08,0.906,6.746,1.384
Brisbane Lions,37,3.205,3.166,2.132,0.706,6.607,1.382
North Melbourne,39,3.159,2.954,2.776,1.166,6.367,1.392
Melbourne,36,3.133,3.082,2.271,1.059,5.786,1.175
Collingwood,37,3.101,3.101,1.439,0.701,6.963,1.247
Richmond,42,2.942,2.91,1.431,0.771,5.539,1.16
West Coast,40,2.84,2.767,1.42,1.175,6.174,1.123
